ymd	title1	title2	kiji1	kiji2	cls	kw
20181201	中日		議会だより		行政・政治	
20181201	中日		わらアート 世界に発信を	美濃加茂でサミット 取り組みを発表	行事	
20181201	中日		絵画や書写、工芸 小中学生の作品展	みのかも文化の森	教育	
20181201	中日		障害福祉事業所が自主製品の販売会	美濃加茂市役所で	行事	工房和楽（牧野）
20181201	中日		ひき逃げの容疑者逮捕	可児署	事件・事故	
20181201	岐阜		美濃加茂市議会開会、１８議案上程		行政・政治	
20181201	岐阜		県内市町村の１７年度普通会計決算	美濃加茂市：財政力指数0.80 経常収支比率91.5	行政・政治	
20181201	岐阜		美濃加茂市子ども展　絵や書など646点	児童生徒 感性キラリ	教育	
20181201	岐阜		全国ホッケー健闘誓う　	東濃実高と可児工高　美濃加茂の生徒決意	ひと	
20181201	岐阜		県学生ゴルフ	男子４位：黒田智之（美濃加茂高）	ひと	
20181202	岐阜		きらり中濃応援歌　「服送る活動」太田小６年、１万３５１９枚集める	難民の子ども支援 児童の力で	教育	
20181202	岐阜		わらアートで地域活性化	美濃加茂市でサミット、大型迷路も登場	行事	
20181202	岐阜		清流里山公園でウオーキング大会	話して歩いて健康増進	行事	
20181202	岐阜		陸上　岐阜陸協長距離記録会兼全国都道府県対抗駅伝選手選考会	成績	行事	
20181203	中日		第５４回加茂駅伝大会　初冬の力走 息白く	成績	行事	
20181203	中日		美濃加茂市ソフトボール協会リーグ戦・最終戦	成績	行事	
20181203	中日		美濃加茂軟式野球連盟２０１８年度学童特別大会A決勝戦	優勝：太田タイガース	行事	
20181203	岐阜		関市で生涯学習フォーラム　視聴覚教育貢献で表彰	受賞者の皆さん	ひと	
20181203	日経		医療 健康　向き合う　どうしたって生かされる	脚本家　北川悦吏子さん	ひと	
20181204	中日		選挙人名簿登録者数（平成３０年１２月３日現在）		行政・政治	
20181204	中日		第５４回加茂駅伝大会　陽気穏やか選手力走	成績	行事	
20181204	中日		未来はぐくむ　美濃加茂市東中PTA		教育	
20181204	中日		人権週間で相談所開設　地方法務局	４日美濃加茂市生涯学習センター	行事	
20181204	中日		せせらぎ　古着回収		その他	太田小学校
20181204	岐阜		県内選挙人名簿登録者数（１２月３日現在）		行政・政治	
20181204	岐阜		美濃加茂軟式野球連盟理事長旗大会	下米田ブルースターズがV	行事	
20181204	岐阜		美濃加茂軟式野球連盟学童特別大会B	山之上ビクトリーズが優勝	行事	
20181204	岐阜		第４５回中濃地区珠算競技大会　児童、珠算の腕試し	成績	ひと	
20181204	岐阜		無免許、事故不申告疑い	加茂署	事件・事故	
20181205	中日		美濃加茂　あったかニット展　和工房花まる	セーターやベストを手編み	行事	
20181205	中日		二つの寺の住職ら歳末助け合い托鉢	小山寺　光徳寺　（下米田）　	その他	
20181205	中日		当て逃げなどの疑い	加茂署	事件・事故	
20181205	中日	夕刊	岐阜県畜産研（美濃加茂市）で豚コレラ		事件・事故	
20181205	岐阜		美濃加茂ライオンズクラブ、医師ら招き勉強会	糖尿病予防の食事学ぶ	行事	
20181205	岐阜		第３０回MOA美術館中濃児童作品展上位入賞者		ひと	
20181206	中日		岐阜県畜産研で豚コレラ	美濃加茂、全500頭殺処分	事件・事故	
20181206	中日		豚コレラ拡大　県の検査特定できず	知事「持久戦の正念場」	事件・事故	
20181206	中日		研究施設で豚コレラ　「県、反省を」住民ら不安	「岐阜の宝」大打撃	事件・事故	
20181206	中日		美濃加茂 故渡辺英二さんクラフトアート展	がんと闘い 額の中に西洋	ひと	
20181206	中日		未来はぐくむ　美濃加茂市西中PTA		教育	
20181206	中日		生命保険協会県協会が福祉巡回車を寄贈	美濃加茂市社会福祉協議会などへ	その他	
20181206	中日		窃盗未遂の疑い	加茂署	事件・事故	
20181206	中日	夕刊	豚500頭殺処分 岐阜県が完了		事件・事故	
20181206	岐阜		県畜産研で豚コレラ	美濃加茂 3例目、500頭殺処分	事件・事故	
20181206	岐阜		県畜産研・豚コレラ　ブランド豚肉に暗雲	説明会 住民「早く手を打って」	事件・事故	
20181206	岐阜		県畜産研・豚コレラ　県、徹底防疫及ばず	古田知事「発症、申し訳ない」	事件・事故	
20181206	岐阜		美濃加茂軟式野球連盟　年度末総会、労ねぎらう	連盟表彰の皆さん	行事	
20181206	岐阜		農地から網など窃盗未遂疑い	加茂署	事件・事故	
20181206	日経		岐阜で豚コレラ3例目	美濃加茂 県畜産研、豚2頭感染	事件・事故	
20181207	中日		美濃太田駅前に新たな交流拠点	ミングルで夢の開業を	行政・政治	
20181207	中日		社会貢献大会　可茂農林高・林さん抱負	全国舞台で柿渋PR	教育	
20181207	中日		県の施設で発生　農相に知事陳謝	豚コレラ　県畜産研究所養豚・養鶏研究部（美濃加茂市）	事件・事故	
20181207	中日		市民創作集め可児市文芸祭	文芸祭賞 俳句：西田和美さん（美濃加茂市）	ひと	
20181207	中日		講演会「わたしがわたしとして生きる意味」	講師：ジャーナリスト池上正樹さん	行事	市総合福祉会館
20181207	中日		ドリームコンサート	シンガー・ソングライター大海有輝さん	行事	市文化会館
20181207	中日		可茂公設市場一般開放		行事	
20181207	岐阜		人権相談、気軽に	擁護委員　美濃加茂で啓発	行政・政治	バロー美濃加茂店
20181207	岐阜		情熱注いだクラフト	美濃加茂市の作家渡辺英二さんの遺作展	ひと	
20181207	岐阜		中濃４署署員に靴下贈って激励	県警察官友の会支部	行政・政治	
20181207	岐阜		頑張ってます　岐阜県人　劇団主宰者 奥村徹也さん	東京で観客数1000人を達成	ひと	
20181207	岐阜		多治見市で料理教室　雑穀を使い華やか４品	講師：ラ・サンティール料理教室の長谷川光司さん（美濃加茂市）	ひと	
20181207	岐阜		１００歳のお祝い		ひと	
20181208	中日		豚コレラ防疫完了	イノシシ拡散防止続く	事件・事故	
20181208	中日		岐阜県畜産研（美濃加茂市）の防疫措置が完了	豚コレラ	事件・事故	
20181208	中日		三和小　あす一輪車発表会	「頑張って成功させたい」	教育	
20181208	中日		長寿を祝福		ひと	
20181208	岐阜		見せろ！〝美濃加茂高魂〟	全国大会出場４部活動が決意	教育	
20181208	岐阜		美濃加茂市議会登壇14議員決定		行政・政治	
20181208	日経		豚コレラで防疫作業完了	岐阜県畜産研究所（美濃加茂市）	事件・事故	
20181209	岐阜		16日美濃加茂でトレイルラン大会	住民が遊歩道整備　参加チーム募集	行事	
20181209	岐阜		女性警官　働き方考える	中濃３署が若手研修会	行政・政治	
20181209	岐阜		県高校新人レスリング	成績	行事	
20181211	中日		議会だより		行政・政治	
20181211	中日		童謡サークルが優しい歌声披露	美濃加茂「野ばら」	行事	
20181211	中日		美濃加茂軟式野球連盟第２０回４年生大会決勝戦	優勝：下米田ブルースターズJr4	行事	
20181211	中日		加茂農林高生　地域に貢献	高齢者宅や公共施設の花壇手入れ	教育	
20181211	中日		中濃地区高校総体駅伝競走大会	成績	行事	
20181211	中日		県レスリング新人大会	成績	行事	
20181211	中日		第１６回加茂の地区自治会親善グラウンドゴルフ大会	成績	行事	
20181211	岐阜		市議会一般質問	美濃加茂市保健センター　医療施設内に移転検討	行政・政治	
20181211	岐阜		花壇、生徒がデザイン	加茂農林高生、市民と植栽	教育	
20181211	岐阜		第37回中濃地区高校総体駅伝大会	成績	行事	
20181211	日経		岐阜で４例目豚コレラ	関の猟犬訓練場	事件・事故	
20181212	中日		議会だより		行政・政治	
20181212	中日		見守りや防犯協力 可児署などと協定	JAめぐみの　	行政・政治	
20181212	中日		美濃加茂市議会　豚コレラ　市側が答弁	「関係機関と連携し全力で」	行政・政治	
20181212	中日		パトロール強化 特別警戒出発式	加茂署	行政・政治	
20181212	中日		３合唱団 世代超え　美濃加茂で１５日	合同演奏会　市民参加も	行事	市文化会館
20181212	中日		星稜高・山下名誉監督の教え	美濃加茂　中高生、野球の基本学ぶ	教育	
20181212	中日		酒気帯び運転の疑い	加茂署	事件・事故	
20181212	岐阜		市議会一般質問	「健康ポイント事業」拡充策	行政・政治	
20181212	岐阜		３団体、美濃加茂市で１５日合同公演	合唱の魅力、心に響け	行事	市文化会館
20181212	岐阜		年末年始、街の安全守る	加茂署が特別警戒出発式	行政・政治	
20181212	岐阜		第18回工業高校生ものづくりコンテスト県大会	成績	行事	
20181213	中日		人とのつながり 歌で伝える	歌手の佐藤梓さん　美濃加茂・東中生に	教育	
20181213	中日		未来はぐくむ　美濃加茂中PTA		教育	
20181213	中日		ニセ電話詐欺未遂の疑い	加茂署	事件・事故	
20181213	中日		美濃加茂の住宅でぼや	加茂署	事件・事故	
20181213	岐阜		高齢者宅の庭美しく	加茂農林高生が手入れ	教育	
20181213	岐阜		ひだみの 人ひと　輝いてます　触れ合いを句文集に	美濃加茂市教育長　日比野安平さん	ひと	
20181213	岐阜		バスケ、２６チーム熱戦	高校女子 美濃加茂で交流大会	行事	
20181213	岐阜		美濃加茂で民家の壁焼く	加茂署	事件・事故	
20181214	中日		自分の意見１票に込めて	加茂農林高で主権者教育	教育	
20181214	中日		フィリピン人看護助手採用	木沢記念病院	ひと	
20181214	中日		可茂地域の農業者と井戸「畑」会議で語る	加茂農林高生	教育	
20181214	中日		可児など４署に400足の靴下贈る	県警察官友の会	その他	
20181214	中日		女性応援イベント「カミーノミツケルマルシェ」	加茂野交流センターあまちの森	行事	
20181214	中日		授産製品の合同販売会	アピタ美濃加茂店	行事	
20181214	中日		くらしの作文　「もみすり」	山田やよひさん（美濃加茂市）	ひと	
20181214	中日		酒気帯び運転の疑い	加茂署	事件・事故	
20181214	岐阜		美濃加茂の味ジェラートに　堂上蜂屋柿や吟醸酒かす、赤みそ	美濃加茂と氷見商議所　3種を共同開発	ビジネス	
20181214	岐阜		手作りパンや餅、いかが　アピタ美濃加茂店	中濃地域授産施設　合同で製品販売会	行事	
20181214	岐阜		酒気帯び疑いで逮捕	加茂署	事件・事故	
20181215	中日		伝授の里写す会　入賞者が決まる	入賞：佐合富治さん（美濃加茂市）佳作：佐合正子さん（美濃加茂市）	ひと	
20181215	中日		岐阜６養豚場あす出荷再開		事件・事故	
20181215	岐阜		かべ新聞コンクール　入賞作品10点決まる	入賞、入選者の皆さん	行事	
20181215	岐阜		美濃加茂４公園で老人ク、子ども会が清掃		行事	
20181215	岐阜		山手幼稚園がXマス発表会	凱旋行進曲、元気に演奏	教育	
20181215	岐阜		コミバス（あい愛バス）が接触事故		事件・事故	
20181216	中日		無事故で新年迎えよう	美濃加茂の国道21号交通安全を呼び掛け	行政・政治	
20181216	岐阜		看護の道 日本で歩む	木沢病院、比の女性が就労	ひと	
20181217	中日		日本昭和村小学生駅伝	総合女子5位：美濃加茂ジュニアA	行事	
20181217	中日		県の防疫対応 手詰まり感	豚コレラ　有識者会議で対策あおぐ	事件・事故	
20181217	中日		第5回可児ジュニアゴルフ協議会	女子の部3位：酒井杏奈さん（美濃加茂高）	ひと	
20181217	中日		第30回野尻杯剣道大会	成績	ひと	
20181217	岐阜		NIE教育に新聞を　いま 学校で　身近に新聞深い学び	細江隆一教諭（美濃加茂市立西中）	ひと	
20181217	岐阜		県U-14新人サッカー	成績	行事	
20181217	日経		医療健康　向き合う　そして、光を見つける。	脚本家　北川悦吏子さん	ひと	
20181218	中日		特産品でジェラート開発　美濃加茂、富山・氷見の商議所連携	堂上蜂屋柿、酒粕、赤味噌の3種	ビジネス	
20181218	中日		あい愛バス今どこ？スマホですぐ分かる	美濃加茂市がサービス開始	行政・政治	
20181218	中日		未来はぐくむ	太田小PTA	教育	
20181218	中日		JA杯中日旗可茂支部小学生バレーボール親善大会	成績	行事	
20181218	中日		法福寺写す会	入選：、佐合富春さん（美濃加茂市）、佐合正子さん（美濃加茂市）	ひと	
20181218	中日		燃えよ！ルーキー　根尾選手の応援楽しみ	美濃加茂高校野球部マネジャー 安江蘭々香さん	ひと	
20181218	中日		日本将棋連盟中濃支部例会成績	S級3位：森巌さん（美濃加茂市）	ひと	
20181218	岐阜		コミバス（あい愛バス）位置情報早分かり	美濃加茂市 スマホアプリ運用開始	行政・政治	
20181218	岐阜		伊深小の周辺に防犯カメラ設置	美濃加茂市が除幕式	行政・政治	
20181219	中日		野生イノシシが感染源	国の調査チーム見解変更	事件・事故	
20181219	中日		イノシシ感染77頭に		事件・事故	
20181219	中日		美濃加茂レスリングクラブ	親子対決 白熱	行事	
20181219	中日		おすすめの1冊コンクール　イラストPOP部門	ゴールド賞：井上花さん（美濃加茂市）	ひと	
20181219	岐阜		山手幼稚園で保護者ら教室　可茂食品衛生協会支部	手洗い、しっかり除菌　ポイント解説	教育	
